rank,website_id,url,S_scale,T2_S_score
1,1921,https://www.prothomalo.com/,1,20
1,2276,https://www.prothomalo.com,1,20
3,2281,https://www.jugantor.com,0.948717949,18.97435897
4,2277,https://www.dhakatimes24.com,0.923076923,18.46153846
5,2269,https://www.thedailystar.net,0.897435897,17.94871795
6,2263,https://www.dailyinqilab.com,0.871794872,17.43589744
7,2268,https://mzamin.com,0.846153846,16.92307692
8,2244,https://www.dailynayadiganta.com,0.820512821,16.41025641
9,2283,https://www.ekushey-tv.com,0.794871795,15.8974359
10,2280,https://m.dainikshiksha.com,0.769230769,15.38461538
11,2279,https://sarabangla.net,0.743589744,14.87179487
12,2261,https://www.sangbadpratidin.in,0.717948718,14.35897436
13,2264,https://www.deshrupantor.com ,0.692307692,13.84615385
14,2252,https://www.bssnews.net,0.666666667,13.33333333
15,1905,http://sukumarray.freehostia.com/,0.641025641,12.82051282
16,2270,https://dmpnews.org,0.615384615,12.30769231
17,2274,https://unb.com.bd,0.58974359,11.79487179
18,2258,https://www.probashirdiganta.com,0.564102564,11.28205128
19,1904,https://www.bangla-kobita.com/,0.538461538,10.76923077
20,2262,http://bartabazar.com,0.512820513,10.25641026
21,1911,https://www.ebanglalibrary.com,0.487179487,9.743589744
22,1901,https://tagoreweb.in/,0.461538462,9.230769231
23,1898,https://www.kishoralo.com/,0.435897436,8.717948718
24,2113,http://www.mofept.gov.pk,0.41025641,8.205128205
25,2265,https://desh.tv,0.384615385,7.692307692
26,1891,https://www.kaliokalam.com/,0.358974359,7.179487179
27,2256,https://www.webbangladesh.com,0.333333333,6.666666667
28,1908,http://www.sachalayatan.com/,0.307692308,6.153846154
29,2266,https://bn.bangladeshinfo.com,0.282051282,5.641025641
30,2579,https://netra.news/,0.256410256,5.128205128
31,1895,https://www.sananda.in/galpo?sectionid=46866&secName=Golpo,0.230769231,4.615384615
32,1894,https://www.desh.co.in/,0.205128205,4.102564103
33,1892,https://www.parabaas.com/,0.179487179,3.58974359
34,1897,https://www.anandamela.in/#/,0.153846154,3.076923077
35,1890,https://www.targetsscbangla.com/modern-bengali-literature,0.128205128,2.564102564
36,1907,https://jyotirjagat.wordpress.com/,0.102564103,2.051282051
37,1903,https://www.nazrulgeeti.org/index.php/home,0.076923077,1.538461538
38,1893,https://abasar.net/,0.051282051,1.025641026
39,1909,https://protipokkho.com/,0.025641026,0.512820513
40,1906,https://lalonsain.wordpress.com/,0,0
